"id"	"long"	"lat"
814	-107.319048	37.360813
815	-106.647877	37.40642
816	-105.975255	37.448252
817	-105.301304	37.486285
818	-104.626149	37.520495
819	-103.949915	37.550862
820	-103.272731	37.57737
821	-102.594723	37.600002
822	-101.916022	37.618744
823	-101.236757	37.633585
824	-100.55706	37.644518
825	-99.87706	37.651534
826	-99.196891	37.65463
827	-98.516684	37.653804
828	-97.83657	37.649057
829	-97.156682	37.640391
830	-96.47715	37.627812
831	-95.798107	37.611326
832	-95.119682	37.590945
833	-94.442005	37.566679
834	-93.765206	37.538544
835	-93.089411	37.506556
836	-92.414748	37.470734
837	-91.741341	37.431099
838	-91.069315	37.387674
839	-90.398791	37.340485
840	-89.72989	37.289559
841	-89.062731	37.234925
842	-88.397429	37.176616
843	-87.7341	37.114664
844	-87.072856	37.049104
845	-86.413805	36.979975
846	-85.757057	36.907315
847	-85.102716	36.831164
848	-84.450884	36.751565
849	-83.801661	36.668561
850	-83.155144	36.582199
851	-82.511427	36.492525
852	-81.870602	36.399587
853	-81.232757	36.303435
854	-80.597979	36.204119
855	-79.966348	36.101692
856	-79.337946	35.996208
857	-78.712849	35.887719
858	-78.09113	35.776282
859	-77.47286	35.661952
860	-76.858107	35.544787
861	-76.246936	35.424844
862	-121.028971	36.096088
863	-120.409436	36.214215
864	-119.786327	36.329436
865	-119.159713	36.441692
866	-118.529667	36.550926
867	-117.896266	36.657083
868	-117.259588	36.760106
869	-116.619717	36.859941
870	-115.976736	36.956537
871	-115.330736	37.04984
872	-114.681807	37.1398
873	-114.030043	37.22637
874	-113.375543	37.3095
875	-112.718406	37.389145
876	-112.058736	37.465261
877	-111.396639	37.537804
878	-110.732222	37.606734
879	-110.065598	37.672011
880	-109.39688	37.733598
881	-108.726184	37.79146
882	-108.053628	37.845563
883	-107.379333	37.895874
884	-106.70342	37.942366
885	-106.026016	37.98501
886	-105.347245	38.023781
887	-104.667235	38.058657
888	-103.986117	38.089616
889	-103.30402	38.11664
890	-102.621076	38.139713
891	-101.937419	38.158821
892	-101.253182	38.173952
893	-100.568499	38.185098
894	-99.883506	38.192251
895	-99.198338	38.195408
896	-98.513131	38.194566
897	-97.82802	38.189726
